
#(1)                 (6)   (9)  (11)   (12) (13)           (14)        
#Name/ASCII          Con   mag    HIP     HD  RA(J2000)    Dec(J2000) 
Absolutno            Lyn  11.95      _      _ 116.716506    39.094572 
Petra                Aql  11.27      _      _ 303.167372    -2.144220 
Phact                Col   2.65  26634  37795  84.912254   -34.074110 
Phecda               UMa   2.41  58001 103287 178.457679    53.694758 
Pherkad              UMi   3.00  75097 137422 230.182150    71.834017 
Phoenicia            Aql   7.79  99711 192263 303.499356    -0.866881 
Piautos              Cnc   5.92  40881  70011 125.133901    24.022311 
Pincoya              Sgr   9.66  88414 164604 270.778888   -28.560655 
Pipirima             Sco   3.56  82545 151985 253.083939   -38.017535 
Pipoltr              Her  12.20      _      _ 268.029244    37.546177 
Pleione              Tau   5.05  17851  23862  57.296738    24.136710 
Poerava              Tuc   7.82 116084 221287 352.834742   -58.209731 
Polaris              UMi   2.13  11767   8890  37.954561    89.264109 
Polaris Australis is Oct   5.45 104382 177482 317.195164   -88.956499 
Polis                Sgr   3.84  89341 166937 273.440870   -21.058832 
Pollux               Gem   1.16  37826  62509 116.328958    28.026199 
Porrima              Vir   3.44  61941 110379 190.415181    -1.449373 
Praecipua            LMi   3.79  53229  94264 163.327937    34.214872 
Prima Hyadum         Tau   3.65  20205  27371  64.948349    15.627643 
Procyon              CMi   0.40  37279  61421 114.825493     5.224993 
Propus               Gem   3.32  29655  42995  93.719405    22.506794 
Proxima Centauri  i  Cen  11.01  70890 999999 217.428953   -62.679484 
Ran                  Eri   3.73  16537  22049  53.232687    -9.458259 
Rana                 Eri   3.53  17378  23249  55.812086    -9.763392 
Rapeto               Sco   7.39  83547 153950 256.128629   -43.309770 
Rasalas              Leo   3.88  48455  85503 148.190903    26.006953 
Rasalgethi           Her   3.37  84345 156014 258.661910    14.390333 
Rasalhague           Oph   2.08  86032 159561 263.733627    12.560035 
Rastaban             Dra   2.79  85670 159181 262.608174    52.301389 
Regulus              Leo   1.36  49669  87901 152.092962    11.967209 
Revati               Psc   5.21   5737   7344  18.432864     7.575354 
Rigel                Ori   0.18  24436  34085  78.634467    -8.201638 
Rigil Kentaurus      Cen  -0.01  71683 128620 219.902066   -60.833975 
Rosaliadecastro      Oph   7.89  81022 149143 248.212712     2.084828 
Rotanev              Del   3.64 101769 196524 309.387235    14.595115 
Ruchbah              Cas   2.66   6686   8538  21.453964    60.235284 
Rukbat               Sgr   3.96  95347 181869 290.971570   -40.615940 
Sabik                Oph   2.43  84012 155125 257.594529   -15.724907 
Saclateni            Aur   3.69  23453  32068  75.619531    41.075839 
Sadachbia            Aqr   3.86 110395 212061 335.414064    -1.387334 
Sadalbari            Peg   3.51 112748 216131 342.500809    24.601577 
Sadalmelik           Aqr   2.95 109074 209750 331.445983    -0.319849 
Sadalsuud            Aqr   2.90 106278 204867 322.889715    -5.571176 
Sadr                 Cyg   2.23 100453 194093 305.557091    40.256679 
Sagarmatha           Leo   8.42  56572 100777 173.964679   -04.755695 
Saiph                Ori   2.07  27366  38771  86.939120    -9.669605 
Salm                 Peg   4.58 115250 220061 350.159341    23.740336 
Samaya               PsA   8.56 106824 205739 324.535016   -31.737484 
Sansuna              Sge  10.31      _      _ 303.195361    18.104833 
