HR,Name,DM,HD,SAO,FK5,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,SpType,Parallax
4275,,BD+52 1528,95057,27858,2876,10,59,17.9,+,51,52,56,6.17,K0,
4276,,CP-59 2888,95109,238635,,10,57,48.4,-,59,43,55,6.11,G3Ia,
4277,47    UMa,BD+41 2147,95128,43557,1282,10,59,28,+,40,25,49,5.05,G1-VFe-0.5,0.072
4278,,BD+36 2139,95129,62345,,10,59,32.8,+,36,5,35,6,M2III,0.018
4279,,CP-74  755,95208,256775,2875,10,57,15.7,-,75,5,59,6.13,K1II,
4280,,BD+46 1680,95212,43562,2878,11,0,14.7,+,45,31,34,5.47,K5III,
4281,,BD+12 2284,95216,99392,2877,10,59,41.1,+,11,42,21,6.55,F5V,
4282,,CD-33 7401,95221,201976,,10,59,13.9,-,33,44,14,5.71,F2V,
4283,,BD+52 1529,95233,27868,,11,0,25.6,+,51,30,7,6.43,G9III,
4284,,BD-15 3174,95234,156372,,10,59,30.9,-,16,21,14,5.89,M2III,
4285,,BD+43 2068,95241,43564,,11,0,20.6,+,42,54,41,6.02,F9V,0.019
4286,,BD+64  824,95256,15360,,11,1,5.8,+,63,25,16,6.39,A2Vm,
4287,7Alp Crt,BD-17 3273,95272,156375,1283,10,59,46.5,-,18,17,56,4.08,K0+III,0.031
4288,49    UMa,BD+39 2400,95310,62354,,11,0,50.4,+,39,12,44,5.08,F0V s,
4289,,BD-13 3271,95314,156382,,11,0,11.6,-,14,5,0,5.88,K5III,
4290,,CP-60 2433,95324,251205,,10,59,14,-,61,19,13,6.16,B8IV,
4291,58    Leo,BD+04 2407,95345,118610,1284,11,0,33.6,+,3,37,3,4.84,K1IIICN-0.5,0.007
4292,,CD-43 6692,95347,222485,,10,59,59.4,-,43,48,26,5.81,B8-9V,
4293,,CD-41 6276,95370,222487,415,11,0,9.3,-,42,13,33,4.39,A3IV,0.003
4294,59    Leo,BD+06 2384,95382,118615,,11,0,44.8,+,6,6,5,4.99,A5III,0.035
4295,48Bet UMa,BD+57 1302,95418,27876,416,11,1,50.5,+,56,22,57,2.37,A1V,0.053
4296,,CD-51 5220,95429,238674,,11,0,8.6,-,51,49,4,6.15,A3III-IV,
4297,,BD-15 3178,95441,156396,,11,0,57.2,-,15,47,34,6.34,K0,
4298,,CD-31 8696,95456,201998,,11,0,40.8,-,31,50,22,6.07,F8V,
4299,61    Leo,BD-01 2471,95578,137947,2879,11,1,49.7,-,2,29,5,4.74,M0IIIBa0.2,0.032
4300,60    Leo,BD+20 2547,95608,81637,2880,11,2,19.8,+,20,10,47,4.42,A1m,0.017
4301,50Alp UMa,BD+62 1161,95689,15384,417,11,3,43.7,+,61,45,3,1.79,K0IIIa,0.038
4302,,CD-26 8302,95698,179456,,11,2,24.4,-,26,49,53,6.23,F1V,
4303,,BD+00 2728,95771,137963,,11,3,14.6,-,0,45,9,6.14,F0V,
4304,,CP-80  509,95788,258599,,10,59,12.9,-,81,33,22,6.71,F7IV,0.01
4305,,BD-10 3184,95808,156421,,11,3,14.9,-,11,18,13,5.5,G7-III,
4306,62    Leo,BD+00 2729,95849,118634,,11,3,36.6,-,0,0,3,5.95,K3III,
4307,,CD-31 8726,95857,202039,2881,11,3,16.1,-,31,57,39,6.46,M1III,
4308,,BD-12 3333,95870,156427,,11,3,36.5,-,13,26,4,6.34,G5,
4309,51    UMa,BD+39 2414,95934,62387,2882,11,4,31.2,+,38,14,29,6,A3III-IV,
4310,63Chi Leo,BD+08 2455,96097,118648,418,11,5,1,+,7,20,10,4.63,F2III-IV,0.029
4311,,CD-47 6466,96113,222538,2884,11,4,31.2,-,47,40,45,5.67,A8III-IV,
4312,Eta Oct,CP-83  386,96124,258600,1664,10,59,13.8,-,84,35,38,6.19,A1V,
4313,,CD-35 6954,96146,202067,2885,11,4,54.2,-,35,48,17,5.43,A2V,
